system:index,CD_GEOCME,CD_GEOCMI,CD_GEOCMU,CD_GEOCUF,Hectares,NM_ESTADO,NM_MESO,NM_MICRO,NM_MUNICIP,RGB_COMPOS,STR_COLOR,blue,green,id,red,rgb,.geo
0000000000000000113a,5203,52007,5201108,52,17.5107,GOIÁS,CENTRO GOIANO,ANÁPOLIS,ANÁPOLIS,18211,5203,1,21,18211,18,18_21_1,"{""type"":""Polygon"",""coordinates"":[[[-48.845777779393,-16.291218700351777],[-48.8457554408583,-16.291307837370308],[-48.84564843095579,-16.291691380465668],[-48.84558156906111,-16.292039135659113],[-48.845523535150306,-16.29244495213558],[-48.84545222107463,-16.29255197021624],[-48.84529170716154,-16.292797230648404],[-48.844997394460826,-16.293064730999102],[-48.84464512705637,-16.293301088966107],[-48.844194759191765,-16.29347499834429],[-48.84366410196939,-16.293573078568503],[-48.84297739457938,-16.29351955324301],[-48.841840346534944,-16.292828447762492],[-48.84162634181556,-16.292502888000506],[-48.84142569394031,-16.29205696822035],[-48.84127401874492,-16.29160660494682],[-48.84126511474817,-16.291138443139037],[-48.84151481098407,-16.290536416554477],[-48.841933993045366,-16.289983498589518],[-48.84245127768316,-16.28955988774401],[-48.8430041841473,-16.289336918157737],[-48.843383231033066,-16.289243294116154],[-48.8438558534162,-16.289292363425147],[-48.84426161943961,-16.28939939566036],[-48.84466738838735,-16.28962231190589],[-48.84509549852346,-16.28987205120061],[-48.84541652568855,-16.29030454713048],[-48.845643978611314,-16.29073266983723],[-48.845773250273574,-16.29119635951428],[-48.845777779393,-16.291218700351777]]]}"
0000000000000000113c,5203,52007,5201108,52,19.4841,GOIÁS,CENTRO GOIANO,ANÁPOLIS,ANÁPOLIS,18213,5203,3,21,18213,18,18_21_3,"{""type"":""Polygon"",""coordinates"":[[[-48.8543704050989,-16.291321214627352],[-48.854285720736094,-16.29181172243294],[-48.85411182260234,-16.29224427807281],[-48.85382199357233,-16.292645634566107],[-48.8534340472734,-16.29296667917799],[-48.85300595052011,-16.293247555291536],[-48.85264472722159,-16.29336799303093],[-48.85216765498472,-16.29344824199458],[-48.85175737916358,-16.29343927461204],[-48.85131593677296,-16.293359068917336],[-48.85090121439554,-16.293207450528627],[-48.850499930026096,-16.29291761152923],[-48.85015215766993,-16.292592077290756],[-48.84994702672635,-16.292181821412353],[-48.84981321603817,-16.291686908285108],[-48.849728538526534,-16.291205302155713],[-48.84974189652989,-16.290612212764664],[-48.84994702672635,-16.2901484791278],[-48.85026808155005,-16.289707081486103],[-48.850749667217144,-16.28928340778415],[-48.85128476723232,-16.28902480772903],[-48.85172175655365,-16.28894455325994],[-48.85214976677378,-16.28893116764345],[-48.852591215699334,-16.288998058664546],[-48.85310852146878,-16.28916303375603],[-48.85361239628901,-16.289533111802147],[-48.853946831006155,-16.289929993497164],[-48.85417869462469,-16.290367013940344],[-48.854339233868046,-16.290884274757786],[-48.8543704050989,-16.291321214627352]]]}"
00000000000000005318,5203,52007,5201108,52,28.0889,GOIÁS,CENTRO GOIANO,ANÁPOLIS,ANÁPOLIS,11018,5203,8,1,11018,11,11_01_8,"{""type"":""Polygon"",""coordinates"":[[[-48.878752816117306,-16.387967815656953],[-48.878614558887975,-16.388560843341782],[-48.87823105046929,-16.389234166157095],[-48.87781190555601,-16.389769241536136],[-48.87717424594917,-16.39013934664494],[-48.87638943220444,-16.390326670950742],[-48.87572060562124,-16.390406929858077],[-48.87502498216062,-16.390380178367028],[-48.87438289944374,-16.390005629597027],[-48.87377200599881,-16.389524048910335],[-48.87331718115602,-16.388881951255737],[-48.87314322429583,-16.388159497360903],[-48.87307632976971,-16.387566435578172],[-48.87330819529181,-16.38680398614662],[-48.87381655168891,-16.38590321948389],[-48.87434273111481,-16.38540830340091],[-48.87493135744321,-16.385131795054154],[-48.876001560976,-16.385078315954246],[-48.87679527893536,-16.385189760558767],[-48.87750421200551,-16.385466224992054],[-48.878128510606814,-16.385961175393156],[-48.878413932888904,-16.386531972066198],[-48.87866809511935,-16.38723647369147],[-48.878752816117306,-16.387967815656953]]]}"
000000000000000053a3,5203,52007,5201108,52,15.9091,GOIÁS,CENTRO GOIANO,ANÁPOLIS,ANÁPOLIS,11157,5203,7,15,11157,11,11_15_7,"{""type"":""Polygon"",""coordinates"":[[[-48.849728538526534,-16.29250292086889],[-48.849683935101524,-16.2929800331165],[-48.84942974999226,-16.293474993733803],[-48.84915330291693,-16.293809389986283],[-48.84880991470165,-16.294032395982946],[-48.848417550359194,-16.29415724351558],[-48.847788821180565,-16.294282080477615],[-48.84727601674281,-16.294357879160096],[-48.84685687167375,-16.294308821834925],[-48.846428748145506,-16.2941527967397],[-48.84612997711859,-16.29394320424034],[-48.84585799860277,-16.29363550224765],[-48.84565288330062,-16.293354576248866],[-48.84555032592975,-16.29306918096799],[-48.84561718778732,-16.292962204004965],[-48.84567967414159,-16.29255641720325],[-48.84574208380053,-16.292213058661],[-48.84587580805049,-16.29173596086444],[-48.8457554408583,-16.291307837370308],[-48.84574208380053,-16.29124987277107],[-48.84573763144865,-16.291249914130113],[-48.845773250273574,-16.29119635951428],[-48.84589369426873,-16.29100019147753],[-48.84617457772879,-16.290723713663116],[-48.8467052586122,-16.290451702993053],[-48.84720017121341,-16.29033130559118],[-48.84775312431325,-16.290304579994018],[-48.84827483819964,-16.29038479194145],[-48.848765312004176,-16.290598883124442],[-48.849184471277994,-16.290928858561387],[-48.84946099527608,-16.291383643919744],[-48.84963933171183,-16.291932164476023],[-48.849728538526534,-16.29250292086889]]]}"
000000000000000053a4,5203,52007,5201108,52,11.1887,GOIÁS,CENTRO GOIANO,ANÁPOLIS,ANÁPOLIS,11158,5203,8,15,11158,11,11_15_8,"{""type"":""Polygon"",""coordinates"":[[[-48.77973848029216,-16.301826867527282],[-48.779684961453825,-16.30216580337868],[-48.77961802464049,-16.302584947656143],[-48.77951551102737,-16.302852455127866],[-48.77935495530372,-16.303075422723452],[-48.77900271575115,-16.303378677728084],[-48.77873512557993,-16.30353472624892],[-48.7784497485862,-16.303606029838345],[-48.77815547904221,-16.303619432348622],[-48.77776307093712,-16.30361946313003],[-48.77742862915051,-16.303516859173474],[-48.77714325880389,-16.30336974867054],[-48.77685788990921,-16.303182439764225],[-48.77667058381785,-16.302919379669667],[-48.776478831484035,-16.302504635317323],[-48.77632280797764,-16.3020542834027],[-48.776296050181585,-16.301603899337657],[-48.7763629063607,-16.301224881846686],[-48.77662603833519,-16.300801275293036],[-48.77696492224227,-16.300515923111007],[-48.777321595932555,-16.300292960065313],[-48.77767834856277,-16.300199315357755],[-48.77806630908132,-16.300168107571647],[-48.778525578064865,-16.300217145717212],[-48.77895364467861,-16.300368748708156],[-48.77926578343601,-16.300645226242494],[-48.77954671747017,-16.300979646592282],[-48.77970727374268,-16.301407708481477],[-48.77973848029216,-16.301826867527282]]]}"
00000000000000005408,5203,52007,5201108,52,21.7683,GOIÁS,CENTRO GOIANO,ANÁPOLIS,ANÁPOLIS,11258,5203,8,25,11258,11,11_25_8,"{""type"":""Polygon"",""coordinates"":[[[-48.77820010241205,-16.298058940064475],[-48.77819113173176,-16.298451330553654],[-48.77807965006387,-16.299013192620347],[-48.7778121409681,-16.2995259691995],[-48.77743752303741,-16.299882711191728],[-48.77689798867482,-16.300181442274038],[-48.77639855791082,-16.300377673689642],[-48.775881344309624,-16.300475811607125],[-48.775395262942716,-16.300475793680285],[-48.77499398064824,-16.300408864558147],[-48.77463279837114,-16.300266216651185],[-48.774284958500154,-16.300020929104274],[-48.77389702413806,-16.299717710439392],[-48.773651768205625,-16.29938773169108],[-48.77345113293729,-16.298937395453567],[-48.773295041188334,-16.298353262292807],[-48.773295041188334,-16.297911760675728],[-48.77342437651134,-16.297354369008488],[-48.77368297138599,-16.29681928522426],[-48.77400849749223,-16.296426894651553],[-48.77451687706356,-16.296083529911034],[-48.77494491308284,-16.29584273068949],[-48.775542466949794,-16.2956866970297],[-48.776028472923024,-16.295709017819718],[-48.77647438461642,-16.29581155578411],[-48.77696936914877,-16.296016659491208],[-48.77741084138094,-16.296342207453463],[-48.777794276404975,-16.2967435269893],[-48.77799937419952,-16.29718497593556],[-48.77813316737059,-16.297657635723894],[-48.77820010241205,-16.298058940064475]]]}"
00000000000000005409,5203,52007,5201108,52,9.69552,GOIÁS,CENTRO GOIANO,ANÁPOLIS,ANÁPOLIS,11259,5203,9,25,11259,11,11_25_9,"{""type"":""Polygon"",""coordinates"":[[[-48.78191891798416,-16.304738687242487],[-48.78183871330299,-16.305104356627655],[-48.78163360147072,-16.305478856770893],[-48.78136155149459,-16.305741984601923],[-48.781013746569435,-16.30595152500632],[-48.780648078328554,-16.306058591600607],[-48.780282489146515,-16.306085344494313],[-48.7799569266246,-16.306071910314],[-48.77955561169292,-16.306005034882016],[-48.77926578343601,-16.305853454002868],[-48.77898040374253,-16.30555024832666],[-48.7787841964613,-16.30525147845603],[-48.77868613141463,-16.304970581456438],[-48.778623642830844,-16.30455585959679],[-48.77865040173735,-16.30415451560305],[-48.77879309056314,-16.303762107238423],[-48.77904281605011,-16.303449967097546],[-48.77939060875566,-16.30317795296326],[-48.77984099431276,-16.302990669403528],[-48.78025572946145,-16.30294611798284],[-48.78061242407738,-16.302977336773804],[-48.780973644861554,-16.30312449239709],[-48.78133034404222,-16.30335635250699],[-48.78165139057936,-16.303690750942383],[-48.78183426601045,-16.30404304454233],[-48.78190557608851,-16.30434179450136],[-48.78191891798416,-16.304738687242487]]]}"
000000000000000051dc,5205,52016,5208152,52,67.951,GOIÁS,SUL GOIANO,PIRES DO RIO,GAMELEIRA DE GOIÁS,10702,5205,2,70,10702,10,10_70_2,"{""type"":""Polygon"",""coordinates"":[[[-48.797713115942216,-16.413117142258486],[-48.79769079649401,-16.413772611290117],[-48.797588249864845,-16.414463811063847],[-48.79738760569308,-16.415141536857632],[-48.79698624280222,-16.415685549617166],[-48.796647391366314,-16.416162679398216],[-48.79612117095146,-16.416621989426563],[-48.795626247549755,-16.41697424762318],[-48.79514467355072,-16.417232845906447],[-48.7946140189141,-16.417397855964666],[-48.79384707498531,-16.41754504674073],[-48.79303995450964,-16.41756727545329],[-48.79253163715525,-16.417504852958064],[-48.791880601931474,-16.41733990824062],[-48.79186718097614,-16.4173309840398],[-48.791180492492025,-16.416983183093116],[-48.79058300212095,-16.416555093377614],[-48.790337749924475,-16.416015542983565],[-48.78989625265816,-16.415649914584193],[-48.78940575533818,-16.415315434949566],[-48.78912040075514,-16.414744660337938],[-48.789017869779805,-16.414111543563124],[-48.78893757826423,-16.413496129652835],[-48.78895092183193,-16.412689056095747],[-48.78919172009301,-16.411930964033566],[-48.78953512780798,-16.411190834082504],[-48.790016653687424,-16.410521901199154],[-48.790529472938495,-16.410031427099575],[-48.79122067818485,-16.409558803559598],[-48.792259611035064,-16.409402694800765],[-48.79270105019786,-16.409465104943845],[-48.793338750322725,-16.409656883369358],[-48.7935571729089,-16.409656855727228],[-48.79406105128767,-16.409219853721805],[-48.79430631975138,-16.409170848773794],[-48.795126803469074,-16.409451744962393],[-48.7957109203282,-16.409728197016186],[-48.796192499183995,-16.41006711571168],[-48.796656288299566,-16.410570977891517],[-48.7971690915066,-16.411284402350336],[-48.79746338406514,-16.41187306045149],[-48.79765068286883,-16.412470546046062],[-48.797713115942216,-16.413117142258486]]]}"
00000000000000005312,5205,52016,5208152,52,22.7999,GOIÁS,SUL GOIANO,PIRES DO RIO,GAMELEIRA DE GOIÁS,11012,5205,2,1,11012,11,11_01_2,"{""type"":""Polygon"",""coordinates"":[[[-48.85932446990868,-16.416399011810526],[-48.85928884251376,-16.417059004766912],[-48.85921298080825,-16.41767879673165],[-48.85900344025151,-16.4182673637584],[-48.85846834369916,-16.418856010744467],[-48.85792879891258,-16.41920823471219],[-48.85724207113972,-16.41940892396998],[-48.85640378934659,-16.419408923317977],[-48.8557037207405,-16.419226072265857],[-48.85506608082499,-16.41868208251726],[-48.8546602369504,-16.41819155520459],[-48.85438384097958,-16.417558419244855],[-48.85427681468177,-16.416978710475608],[-48.85433478083647,-16.416314308538873],[-48.85464242472474,-16.415698944832428],[-48.85507944009418,-16.415141548871585],[-48.85572153330172,-16.41474472258556],[-48.856430508522536,-16.41452174094557],[-48.85709050690231,-16.414535150104513],[-48.857919892282354,-16.414847281832127],[-48.85865561539713,-16.415270900635328],[-48.85907477148584,-16.415859489766174],[-48.85932446990868,-16.416399011810526]]]}"
00000000000000005314,5205,52016,5208152,52,67.1137,GOIÁS,SUL GOIANO,PIRES DO RIO,GAMELEIRA DE GOIÁS,11014,5205,4,1,11014,11,11_01_4,"{""type"":""Polygon"",""coordinates"":[[[-48.87181441127481,-16.415618697297298],[-48.871809956862364,-16.416809291570576],[-48.871644990249266,-16.417536105019664],[-48.87122581747888,-16.418303057740737],[-48.870646138466675,-16.4190165181006],[-48.869727557577825,-16.4197656744844],[-48.86877781243604,-16.420122356409273],[-48.86756936224525,-16.42033197641238],[-48.86655268987889,-16.42033197890617],[-48.86557612111121,-16.419970728538985],[-48.86468434591582,-16.419386618200026],[-48.863970889843735,-16.41867319025359],[-48.863533882302036,-16.417964178633024],[-48.863252989065856,-16.417166026534396],[-48.863128131012786,-16.41624738547942],[-48.86320837493272,-16.415275334447045],[-48.86348481419185,-16.41440578485028],[-48.864229517586296,-16.413464938568474],[-48.86508565452652,-16.412671194427656],[-48.86637429990423,-16.412082597412393],[-48.86749802025967,-16.41206480933025],[-48.86843445820018,-16.41210938970678],[-48.869575959762706,-16.41251515152348],[-48.870552521018716,-16.41319736396848],[-48.87124363494619,-16.414053513522823],[-48.871622718257456,-16.414713468997007],[-48.87181441127481,-16.415618697297298]]]}"
